;Date;Q-P1;Q-P2;Q-P3;Q-P4
0;13.06.2010;5422;3725;576;907
1;14.06.2010;7047;779;3578;1574
2;15.06.2010;1572;2082;595;1145
3;16.06.2010;5657;2399;3140;1672
4;17.06.2010;3668;3207;2184;708
5;18.06.2010;2898;2539;311;1513
6;19.06.2010;6912;1470;1576;1608
7;20.06.2010;5209;2550;3415;842
8;21.06.2010;6322;852;3646;1377
9;22.06.2010;6865;414;3902;562
10;23.06.2010;1287;3955;2710;1804
11;24.06.2010;2197;1429;2754;1299
12;25.06.2010;7910;1622;5574;306
13;26.06.2010;3855;1015;1746;608
14;27.06.2010;5988;3288;916;1530
15;28.06.2010;2653;1544;3867;652
16;29.06.2010;3664;2294;3244;897
17;30.06.2010;7077;2297;5376;1130
18;01.07.2010;3509;700;1175;1205
19;02.07.2010;3716;3175;651;1263
20;03.07.2010;7746;2883;671;728
21;04.07.2010;7006;2833;758;1005
22;05.07.2010;5223;1923;1583;1877
23;06.07.2010;4753;3125;2787;583
24;07.07.2010;3369;752;5913;358
25;08.07.2010;6805;758;4499;1740
26;09.07.2010;7826;2872;3592;328
27;10.07.2010;7450;273;4511;505
28;11.07.2010;5868;1690;1461;391
29;12.07.2010;5273;1888;5949;1677
30;13.07.2010;1562;1851;3289;1740
31;14.07.2010;378;581;2531;446
32;15.07.2010;3180;438;1327;532
33;16.07.2010;2508;1197;1556;1946
34;17.07.2010;7257;302;4973;1686
35;18.07.2010;2527;1347;1626;1724
36;19.07.2010;2581;2489;2607;1692
37;20.07.2010;7694;2975;1278;558
38;21.07.2010;3935;2972;5299;1253
39;22.07.2010;2898;532;4664;1667
40;23.07.2010;7734;1994;2772;271
41;24.07.2010;3052;3935;4623;1653
42;25.07.2010;3041;811;1973;526
43;26.07.2010;1387;2539;1890;1073
44;27.07.2010;4536;2131;4185;470
45;28.07.2010;7659;734;3981;1121
46;29.07.2010;3144;3855;1856;1873
47;30.07.2010;6361;1773;3443;287
48;31.07.2010;2733;3985;1341;1428
49;01.08.2010;2062;3659;2194;803
50;02.08.2010;1964;908;1608;1231
51;03.08.2010;3461;3800;3193;1443
52;04.08.2010;2118;3793;4333;1383
53;05.08.2010;6458;3136;566;1135
54;06.08.2010;957;256;1505;1442
55;07.08.2010;3595;3855;4211;1767
56;08.08.2010;1980;1641;3747;1398
57;09.08.2010;3589;3037;4366;724
58;10.08.2010;2661;1125;2235;281
59;11.08.2010;5148;2530;5069;748
60;12.08.2010;3272;2734;4940;1137
61;13.08.2010;5704;808;891;994
62;14.08.2010;3914;2652;920;744
63;15.08.2010;3094;2510;303;504
64;16.08.2010;4180;3720;1356;781
65;17.08.2010;7024;3160;2743;1168
66;18.08.2010;5187;490;5874;1456
67;19.08.2010;570;628;4053;1402
68;20.08.2010;2497;3055;5978;1606
69;21.08.2010;419;1278;5544;489
70;22.08.2010;2592;438;3777;1568
71;23.08.2010;7712;1739;3940;1041
72;24.08.2010;1076;539;2568;668
73;25.08.2010;2668;1272;4365;1846
74;26.08.2010;1350;2211;1900;602
75;27.08.2010;7841;469;4670;938
76;28.08.2010;586;3052;4481;1919
77;29.08.2010;2003;741;4222;1563
78;31.08.2010;2564;2772;5371;1819
79;01.09.2010;3532;2223;5959;519
80;02.09.2010;519;2119;1349;614
81;03.09.2010;2957;1896;2583;1034
82;04.09.2010;5478;3084;5614;717
83;05.09.2010;5010;2834;359;1417
84;06.09.2010;3027;2584;4244;1390
85;07.09.2010;867;2795;5645;1641
86;08.09.2010;4198;2352;2762;366
87;09.09.2010;2107;3004;5320;1756
88;10.09.2010;3807;575;3085;1498
89;11.09.2010;1949;1978;4159;950
90;12.09.2010;2923;2974;784;976
91;13.09.2010;2111;1739;1049;1535
92;14.09.2010;3179;3646;4008;1088
93;15.09.2010;6653;255;554;486
94;16.09.2010;4008;2164;1959;1189
95;17.09.2010;6950;2226;5834;1493
96;18.09.2010;1284;1287;3272;1777
97;19.09.2010;949;550;4564;1850
98;20.09.2010;5573;2502;4367;384
99;21.09.2010;7043;713;532;1209
100;22.09.2010;4505;3078;2148;800
101;23.09.2010;2073;3807;5311;490
102;24.09.2010;4845;1556;1016;1511
103;25.09.2010;4094;2181;3800;1805
104;26.09.2010;3953;1298;3332;1634
105;27.09.2010;2596;1820;760;1253
106;28.09.2010;1068;2055;715;1087
107;29.09.2010;5110;3370;1228;1871
108;30.09.2010;7642;3158;414;656
109;01.10.2010;4986;342;4978;558
110;01.10.2010;4430;1942;3211;1751
111;02.10.2010;758;1656;2788;1632
112;03.10.2010;7257;3804;2304;1282
113;04.10.2010;4152;2432;3931;542
114;05.10.2010;2994;910;283;1897
115;06.10.2010;3527;2557;3183;441
116;07.10.2010;387;3515;3485;545
117;08.10.2010;5205;3146;2376;1708
118;09.10.2010;854;1533;3331;1363
119;10.10.2010;7329;406;257;1314
120;11.10.2010;6253;2602;3013;1255
121;12.10.2010;5431;1654;764;1048
122;13.10.2010;5041;2762;3532;438
123;14.10.2010;7259;2642;3644;1464
124;15.10.2010;3736;3621;5216;724
125;16.10.2010;6013;1389;4931;365
126;17.10.2010;2772;1663;475;1941
127;18.10.2010;1723;2129;2859;1682
128;19.10.2010;1185;581;2327;1816
129;20.10.2010;6476;3436;4327;1567
130;21.10.2010;3985;1065;703;1285
131;22.10.2010;573;1265;4389;451
132;23.10.2010;5880;1732;3704;1591
133;24.10.2010;6149;3407;4939;736
134;25.10.2010;6080;1441;3773;417
135;26.10.2010;7940;3131;3323;323
136;27.10.2010;828;3871;4768;1071
137;28.10.2010;5866;1038;2354;624
138;29.10.2010;4721;1229;4707;739
139;30.10.2010;5506;3452;1307;422
140;01.11.2010;3975;1068;5004;1564
141;02.11.2010;1498;1525;2722;1276
142;03.11.2010;6869;3258;4863;337
143;04.11.2010;6130;3208;1974;1085
144;05.11.2010;7366;3767;3366;355
145;06.11.2010;4671;1956;655;900
146;07.11.2010;1719;1221;5147;1499
147;08.11.2010;4330;3818;697;401
148;09.11.2010;2633;652;1869;1682
149;10.11.2010;1708;3881;2933;576
150;11.11.2010;833;352;3143;363
151;12.11.2010;5185;3088;4103;355
152;13.11.2010;4865;3951;5405;975
153;14.11.2010;302;3568;2467;1238
154;15.11.2010;7506;3191;438;1481
155;16.11.2010;948;3510;3475;1478
156;17.11.2010;2047;2179;2797;1064
157;18.11.2010;3100;2064;1988;712
158;19.11.2010;6094;1287;4889;1795
159;20.11.2010;3837;1440;3623;518
160;21.11.2010;7427;2519;831;1182
161;22.11.2010;2324;357;2214;335
162;23.11.2010;648;2866;5649;1474
163;24.11.2010;2555;3417;3839;1345
164;25.11.2010;1969;1090;4935;1615
165;26.11.2010;398;976;4694;355
166;27.11.2010;4036;3114;3744;498
167;28.11.2010;1804;2575;5852;1478
168;29.11.2010;6997;3913;5577;1827
169;30.11.2010;1655;2876;4278;1361
170;31-11-2010;4632;3930;523;1581
171;01.12.2010;1736;911;405;1682
172;02.12.2010;6374;1409;5807;1056
173;03.12.2010;969;2566;716;1478
174;04.12.2010;3556;3903;5729;637
175;05.12.2010;1596;3228;351;1825
176;06.12.2010;5138;3926;4864;256
177;07.12.2010;6821;2510;3503;597
178;08.12.2010;5877;1567;4069;636
179;09.12.2010;5135;1774;1870;652
180;10.12.2010;5244;2991;3217;1910
181;11.12.2010;2610;3664;4707;728
182;12.12.2010;4116;3549;4374;1179
183;13.12.2010;5843;2283;4160;1239
184;14.12.2010;5274;978;3655;1788
185;15.12.2010;2143;1253;3742;329
186;16.12.2010;7014;2877;2129;1012
187;17.12.2010;4408;692;3389;434
188;18.12.2010;5578;2699;2917;960
189;19.12.2010;5930;1998;3351;268
190;20.12.2010;3619;575;1983;1372
191;21.12.2010;575;1261;5039;1056
192;22.12.2010;7064;3919;2005;1893
193;23.12.2010;651;3418;5831;1018
194;24.12.2010;5006;752;4432;706
195;25.12.2010;374;970;511;1005
196;26.12.2010;3398;1524;5864;725
197;27.12.2010;7935;1473;5052;1955
198;28.12.2010;2801;1773;2744;1810
199;29.12.2010;6443;1773;3781;942
