Период;2021 г.;2020 г.;2019 г.
Выручка от продаж;10 241 353 000;6 321 559 000;7 659 623 000
Чистый доход по торговым операциям без фактической поставки;-92 397 000;31 349 000;-24 957 000
Операционные расходы;-7 681 410 000;-5 665 762 000;-6 387 071 000
Чистое начисление/восстановление резерва под обесценение активов и прочих резервов;-56 285 000;-72 295 000;-127 738 000
Прибыль от продаж;2 411 261 000;614 851 000;1 119 857 000
Финансовые доходы;615 167 000;747 400 000;654 916 000
Финансовые расходы;-499 110 000;-1 365 518 000;-354 835 000
Доля чистой прибыли ассоциированных компаний и совместных предприятий;242 196 000;136 736 000;207 127 000
Убыток/прибыль от выбытия финансовых активов, имеющихся в наличии для продажи;0;0;0
Прибыль до налогообложения;2 769 514 000;133 469 000;1 627 065 000
Расходы по текущему налогу на прибыль;-452 817 000;-75 606 000;-327 618 000
Расходы по отложенному налогу на прибыль;-157 611 000;104 544 000;-29 930 000
Налог на прибыль;-610 428 000;28 938 000;-357 548 000
Прибыль за год;2 159 086 000;162 407 000;1 269 517 000
Амортизация;828 027 000;798 436 000;715 229 000
Чистый процентный доход/расход;-23 887 000;21 922 000;34 987 000
EBITDA;3 239 288 000;1 413 287 000;1 835 086 000
